idx,nom_rue,highway,longueur_m,largeur_m,hauteur_bat_m,nb_batiments,ratio_hw,h_canyon_m,vent_eff,total_emit,concentration,delta_T,heure,pblh_m
0,Ngõ 87 Đường Tân Xuân,residential,7.431604308921684,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
1,Ngõ 85 Đường Tân Xuân,residential,261.33732697076476,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
2,Đường Tân Xuân,secondary,64.1155671139473,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
3,Phố Viên,tertiary,46.32053804369866,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
4,Đường Cầu Noi,tertiary,397.33561828021703,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.85,8,313
5,Đường Phan Bá Vành,tertiary,353.50646222840555,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.86,8,313
6,Cầu Noi,tertiary,114.91459032965052,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
7,Đường Cổ Nhuế,secondary,728.4521787721933,16,10.8,10,0.68,18.1,1.1,0.22986,72.29,2.54,8,313
8,Đường Cầu Noi,tertiary,273.5496442669747,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.87,8,313
9,Đường Cổ Nhuế,secondary,183.83368356311726,16,11.590909090909092,22,0.72,20.0,1.07,0.22986,67.36,2.64,8,313
10,Ngõ 392 Đường Cổ Nhuế,residential,248.78674534764374,8,10.8,5,1.35,25.4,0.78,0.03542,22.28,1.0,8,313
11,Ngõ 43 Đường Cổ Nhuế,residential,274.79955257781944,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
12,Đường Cổ Nhuế,secondary,231.3087971897013,16,12.0,5,0.75,21.0,1.05,0.22986,65.06,2.64,8,313
13,Đường Phạm Văn Đồng,primary,653.1537412211962,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.26,8,313
14,Đường Phạm Văn Đồng,primary,392.0420914866389,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.29,8,313
15,Đường Cổ Nhuế,secondary,165.64174986402298,16,12.0,11,0.75,21.0,1.05,0.22986,65.06,2.65,8,313
16,Phố Nguyễn Đình Tứ,tertiary,379.0403801488728,12,12.0,4,1.0,24.0,0.92,0.14028,52.94,1.85,8,313
17,Đường Đức Thắng,secondary,246.6444822640605,16,12.0,1,0.75,21.0,1.05,0.22986,65.06,2.64,8,313
18,Phố Viên,tertiary,200.65259112167843,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
19,Đường Đức Thắng,secondary,57.881890610648455,16,12.0,8,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
20,Ruelle sans nom (segment 20),residential,210.65765379078826,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
21,Đường Đức Thắng,secondary,31.633849093310815,16,12.0,7,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
22,Đường Lê Văn Hiến,tertiary,243.67768999454475,12,12.0,72,1.0,24.0,0.92,0.14028,52.94,1.87,8,313
23,Phố Viên,tertiary,94.50782529336368,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
24,Ruelle sans nom (segment 24),residential,116.19526947973388,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
25,Phố Viên,tertiary,190.13235581070657,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
26,Ruelle sans nom (segment 26),residential,3.498712557738033,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
27,Ngõ 119 Đường Cổ Nhuế,residential,20.32099804289561,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
28,Ngõ 119 Đường Cổ Nhuế,residential,224.71830886461947,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
29,Ngách 43/ Cổ Nhuế,residential,5.211547382507359,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
30,Ngõ 119 Đường Cổ Nhuế,residential,107.62174748351161,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
31,Đường Phạm Văn Đồng,primary,248.88868666138313,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.31,8,313
32,Phố Phạm Tiến Duật,residential,22.95381950443031,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
33,Phố Phạm Tiến Duật,residential,29.112434831070598,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
34,Ruelle sans nom (segment 34),tertiary,40.849867440166534,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
35,Ruelle sans nom (segment 35),residential,112.29636313306482,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
36,Ruelle sans nom (segment 36),tertiary,139.93499517812313,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.88,8,313
37,Ruelle sans nom (segment 37),residential,30.0330582021372,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
38,Ruelle sans nom (segment 38),residential,29.476128650695504,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
39,Ruelle sans nom (segment 39),residential,54.279713132519916,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
40,Ruelle sans nom (segment 40),residential,29.747847698075855,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
41,Ruelle sans nom (segment 41),residential,19.318759289986524,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
42,Ruelle sans nom (segment 42),residential,105.48519749892114,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
43,Ruelle sans nom (segment 43),residential,62.196022975535044,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
44,Ruelle sans nom (segment 44),residential,25.19765737971533,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
45,Đường Phạm Văn Đồng,primary,26.978962810836634,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.34,8,313
46,Phố Trần Cung,secondary,23.608574984217846,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.67,8,313
47,Đường Đức Thắng,secondary,216.92919026772898,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.64,8,313
48,Đường Đức Thắng,secondary,368.8029360573254,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.62,8,313
49,Ruelle sans nom (segment 49),residential,88.2043337196852,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
50,Đường Hoàng Tăng Bí,tertiary,385.40503449083576,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.85,8,313
